bookName, fight, honor, dead, pride, greed, lead, friend, love, justice, trick, smart, plot, sad, husband, steady, courage, skill, dedication, grace, charm, coward, devoted, fate, future, tired, old, king, beauty, wife, white
Moby Dick.txt, 4.642741074330285e-05, 8.356933933794513e-05, 0.00031570639305445933, 2.3213705371651425e-05, 0.0, 7.428385718928455e-05, 7.428385718928455e-05, 7.428385718928455e-05, 9.285482148660569e-06, 1.3928223222990854e-05, 4.6427410743302846e-06, 0.0, 3.7141928594642277e-05, 9.285482148660569e-06, 7.428385718928455e-05, 3.7141928594642277e-05, 2.3213705371651425e-05, 4.6427410743302846e-06, 2.3213705371651425e-05, 2.7856446445981707e-05, 9.285482148660569e-06, 9.285482148660569e-06, 4.178466966897256e-05, 4.178466966897256e-05, 0.0, 0.002005664144110683, 0.0001764241608245508, 3.249918752031199e-05, 5.5712892891963415e-05, 0.0012581828311435072
Ulysses.txt, 5.279731487941471e-05, 0.0, 0.0003092414157222861, 2.6398657439707353e-05, 1.5084947108404202e-05, 3.7712367771010505e-05, 0.0001357645239756378, 0.0004299209925895197, 6.411102521071786e-05, 1.8856183885505252e-05, 6.411102521071786e-05, 7.542473554202101e-06, 0.00013199328719853677, 0.0001282220504214357, 7.542473554202101e-06, 1.5084947108404202e-05, 1.1313710331303151e-05, 3.7712367771010505e-06, 7.919597231912206e-05, 1.5084947108404202e-05, 0.0, 3.7712367771010505e-06, 1.5084947108404202e-05, 5.279731487941471e-05, 7.542473554202101e-05, 0.0017724812852374936, 0.00019233307563215355, 0.00010559462975882941, 0.0003695812041559029, 0.0005430580959025512
FoxTales.txt, 8e-05, 0.00024, 0.00048, 8e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8e-05, 0.0, 0.0004, 0.0, 0.0, 0.0, 0.0, 0.0, 8e-05, 0.0, 0.0, 0.0, 0.0, 8e-05, 0.00048, 0.00208, 0.00104, 0.00016, 8e-05, 8e-05
The Brothers Karamazov.txt, 1.7101032902387305e-05, 0.00012825774676790479, 0.0001596096404222815, 6.270378730875344e-05, 0.0, 6.270378730875344e-05, 7.980482021114076e-05, 0.001031762318444034, 6.270378730875344e-05, 1.425086075198942e-05, 1.1400688601591537e-05, 8.550516451193652e-06, 1.7101032902387305e-05, 3.420206580477461e-05, 0.0, 2.8501721503978842e-06, 0.0, 2.8501721503978842e-06, 5.7003443007957685e-06, 2.8501721503978842e-06, 5.7003443007957685e-06, 3.135189365437672e-05, 5.41532708575598e-05, 8.265499236153863e-05, 1.425086075198942e-05, 0.0012654764347766606, 2.8501721503978842e-06, 5.985361515835557e-05, 0.00013680826321909844, 0.0001083065417151196
The Adventures of Sherlock Holmes.txt, 1.8963097811658513e-05, 0.0, 0.00010429703796412182, 2.844464671748777e-05, 0.0, 8.53339401524633e-05, 0.00046459589638563357, 0.0001517047824932681, 4.7407744529146284e-05, 3.792619562331703e-05, 9.481548905829257e-06, 1.8963097811658513e-05, 4.7407744529146284e-05, 0.00013274168468160958, 0.0, 0.0, 4.7407744529146284e-05, 0.0, 2.844464671748777e-05, 1.8963097811658513e-05, 0.0, 3.792619562331703e-05, 4.7407744529146284e-05, 5.688929343497554e-05, 9.481548905829257e-06, 0.0006352637766905601, 0.00019911252702241438, 3.792619562331703e-05, 0.0003413357606098532, 0.0002370387226457314
War and Peace.txt, 9.911329003026495e-05, 0.00014866993504539743, 8.318436841825808e-05, 2.123856214934249e-05, 0.0, 6.902532698536309e-05, 0.00011504221164227182, 0.0006229978230473797, 2.123856214934249e-05, 7.079520716447497e-06, 2.3008442328454362e-05, 3.5397603582237484e-06, 9.026388913470559e-05, 0.00013451089361250242, 1.4159041432894993e-05, 3.1857843224013736e-05, 1.2389161253783119e-05, 0.0, 8.84940089555937e-06, 3.893736394046123e-05, 3.5397603582237484e-06, 3.539760358223748e-05, 9.026388913470559e-05, 9.380364949292932e-05, 4.247712429868498e-05, 0.0014176740234686112, 8.318436841825808e-05, 6.017592608980372e-05, 0.00023185430346365552, 0.0003185784322401373
Grimms_ Fairy Tales.txt, 2.9509260989740614e-05, 0.0, 0.00021640124725809783, 9.836420329913538e-06, 0.0, 2.9509260989740614e-05, 0.00012787346428887598, 0.00015738272527861662, 0.0, 9.836420329913538e-06, 2.9509260989740614e-05, 1.9672840659827077e-05, 4.918210164956769e-05, 0.00018689198626835722, 0.0, 1.9672840659827077e-05, 1.9672840659827077e-05, 0.0, 0.0, 2.9509260989740614e-05, 0.0, 0.0, 2.9509260989740614e-05, 9.836420329913538e-06, 0.00012787346428887598, 0.0019181019643331398, 0.0020164661676322754, 2.9509260989740614e-05, 0.0007278951044136018, 0.0007574043654033424
Great Expectations.txt, 1.071323352170769e-05, 8.034925141280767e-05, 0.00013927203578219997, 3.749631732597691e-05, 0.0, 7.499263465195382e-05, 0.00012855880226049228, 0.00024640437099927685, 2.142646704341538e-05, 0.0, 3.213970056512307e-05, 0.0, 2.142646704341538e-05, 3.749631732597691e-05, 4.285293408683076e-05, 2.142646704341538e-05, 5.356616760853845e-06, 0.0, 3.213970056512307e-05, 5.356616760853845e-06, 0.0, 3.213970056512307e-05, 1.071323352170769e-05, 5.356616760853845e-06, 4.8209550847684603e-05, 0.0016123416450170072, 5.3566167608538446e-05, 2.6783083804269223e-05, 7.499263465195382e-05, 0.000241047754238423
A Tale of Two Cities.txt, 2.1820403531995983e-05, 0.0, 0.00024002443885195584, 8.000814628398527e-05, 0.0, 4.364080706399197e-05, 0.0002472979066959545, 0.0002982121816039451, 2.1820403531995983e-05, 0.0, 0.0, 1.4546935687997323e-05, 2.9093871375994646e-05, 0.0002982121816039451, 0.00010182854981598126, 3.636733921999331e-05, 5.091427490799063e-05, 0.0, 2.1820403531995983e-05, 7.273467843998661e-06, 0.0, 5.091427490799063e-05, 3.636733921999331e-05, 2.9093871375994646e-05, 2.1820403531995983e-05, 0.0011637548550397859, 0.00010910201765997992, 2.1820403531995983e-05, 0.0003418529886679371, 0.00021820403531995985
The Prince .txt, 0.00022123003901693415, 2.0111821728812197e-05, 2.0111821728812197e-05, 0.0, 2.0111821728812197e-05, 6.033546518643659e-05, 0.00016089457383049757, 0.00010055910864406098, 0.0, 0.0, 0.0, 0.0, 2.0111821728812197e-05, 0.0, 0.0, 0.00016089457383049757, 8.044728691524879e-05, 2.0111821728812197e-05, 4.022364345762439e-05, 2.0111821728812197e-05, 0.0, 8.044728691524879e-05, 4.022364345762439e-05, 8.044728691524879e-05, 2.0111821728812197e-05, 0.0004826837214914927, 0.0011061501950846708, 0.0, 4.022364345762439e-05, 0.0
Heart of Darkness.txt, 7.729767334003247e-05, 0.0, 0.0003864883667001623, 0.0, 0.0, 0.00012882945556672078, 0.00010306356445337662, 0.00010306356445337662, 5.153178222668831e-05, 2.5765891113344154e-05, 0.0, 0.0, 2.5765891113344154e-05, 0.0, 5.153178222668831e-05, 0.0, 0.0, 0.0, 0.0, 7.729767334003247e-05, 0.0, 7.729767334003247e-05, 7.729767334003247e-05, 5.153178222668831e-05, 5.153178222668831e-05, 0.0006441472778336039, 0.0, 0.0, 5.153178222668831e-05, 0.0009533379711937338
The Importance of Being Earnest.txt, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001439055979277594, 0.00033577972849810524, 0.0009593706528517292, 0.0, 0.0, 0.0, 0.0, 9.593706528517292e-05, 0.0001439055979277594, 0.0, 4.796853264258646e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 4.796853264258646e-05, 0.0, 0.0, 0.0, 0.000719527989638797, 0.0, 9.593706528517292e-05, 9.593706528517292e-05, 0.0
